,G,Date,Time,Day,School,LocType,Opponent,Conf,,Pts,Opp,W,L,Streak,TV,Notes
248,4,Sep 28 2019,4:00 PM,Sat,South Florida,,SMU,American,L,21,48,1,3,L 1,,
249,5,Oct 5 2019,12:00 PM,Sat,South Florida,@,Connecticut,American,W,48,22,2,3,W 1,,
250,6,Oct 12 2019,3:30 PM,Sat,South Florida,,Brigham Young,Ind,W,27,23,3,3,W 2,,
251,7,Oct 19 2019,3:30 PM,Sat,South Florida,@,Navy,American,L,3,35,3,4,L 1,,
252,8,Oct 26 2019,3:45 PM,Sat,South Florida,@,East Carolina,American,,,,,,,,
253,11,Nov 23 2019,12:00 PM,Sat,South Florida,,Memphis,American,,,,,,,,
254,2,Sep 7 2019,6:00 PM,Sat,East Carolina,,Gardner-Webb,Non-Major,W,48,9,1,1,W 1,,
255,3,Sep 14 2019,3:30 PM,Sat,East Carolina,@,Navy,American,L,10,42,1,2,L 1,,
256,4,Sep 21 2019,6:00 PM,Sat,East Carolina,,William & Mary,Non-Major,W,19,7,2,2,W 1,,
257,5,Sep 28 2019,6:00 PM,Sat,East Carolina,@,Old Dominion,CUSA,W,24,21,3,2,W 2,,
258,10,Nov 9 2019,12:00 PM,Sat,East Carolina,@,(16) SMU,American,,,,,,,,
259,11,Nov 23 2019,12:00 PM,Sat,East Carolina,@,Connecticut,American,,,,,,,,
260,12,Nov 30 2019,12:00 PM,Sat,East Carolina,,Tulsa,American,,,,,,,,
261,1,Aug 29 2019,7:00 PM,Thu,Connecticut,,Wagner,Non-Major,W,24,21,1,0,W 1,,
262,2,Sep 7 2019,3:30 PM,Sat,Connecticut,,Illinois,Big Ten,L,23,31,1,1,L 1,,
263,3,Sep 21 2019,12:00 PM,Sat,Connecticut,@,Indiana,Big Ten,L,3,38,1,2,L 2,,
264,6,Oct 12 2019,3:45 PM,Sat,Connecticut,@,Tulane,American,L,7,49,1,5,L 5,,
265,7,Oct 19 2019,12:00 PM,Sat,Connecticut,,Houston,American,L,17,24,1,6,L 6,,
266,8,Oct 26 2019,3:30 PM,Sat,Connecticut,@,Massachusetts,Ind,,,,,,,,
267,9,Nov 1 2019,8:00 PM,Fri,Connecticut,,Navy,American,,,,,,,,
268,1,Aug 31 2019,7:00 PM,Sat,SMU,@,Arkansas State,Sun Belt,W,37,30,1,0,W 1,,
269,2,Sep 7 2019,7:00 PM,Sat,SMU,,North Texas,CUSA,W,49,27,2,0,W 2,,
270,3,Sep 14 2019,7:00 PM,Sat,SMU,,Texas State,Sun Belt,W,47,17,3,0,W 3,,
271,4,Sep 21 2019,3:30 PM,Sat,SMU,@,(25) Texas Christian,Big 12,W,41,38,4,0,W 4,,
272,6,Oct 5 2019,7:30 PM,Sat,(24) SMU,,Tulsa,American,W,43,37,6,0,W 6,,
273,8,Oct 24 2019,7:30 PM,Thu,(16) SMU,@,Houston,American,W,34,31,8,0,W 8,,
274,9,Nov 2 2019,1:00 PM,Sat,(16) SMU,@,Memphis,American,,,,,,,,
275,11,Nov 23 2019,3:30 PM,Sat,(16) SMU,@,Navy,American,,,,,,,,
276,12,Nov 30 2019,12:00 PM,Sat,(16) SMU,,Tulane,American,,,,,,,,
277,1,Aug 31 2019,3:30 PM,Sat,Navy,,Holy Cross,Non-Major,W,45,7,1,0,W 1,,
278,3,Sep 26 2019,8:00 PM,Thu,Navy,@,Memphis,American,L,23,35,2,1,L 1,,
279,4,Oct 5 2019,3:30 PM,Sat,Navy,,Air Force,MWC,W,34,25,3,1,W 1,,
280,5,Oct 12 2019,7:30 PM,Sat,Navy,@,Tulsa,American,W,45,17,4,1,W 2,,
281,7,Oct 26 2019,3:30 PM,Sat,Navy,,Tulane,American,,,,,,,,
282,9,Nov 16 2019,2:30 PM,Sat,Navy,@,(8) Notre Dame,Ind,,,,,,,,
283,11,Nov 30 2019,12:00 PM,Sat,Navy,@,Houston,American,,,,,,,,
284,12,Dec 14 2019,3:00 PM,Sat,Navy,N,Army,Ind,,,,,,,,Lincoln Financial Field - Philadelphia Pennsylvania
285,2,Sep 7 2019,12:00 PM,Sat,Memphis,,Southern,Non-Major,W,55,24,2,0,W 2,,
286,3,Sep 14 2019,3:30 PM,Sat,Memphis,@,South Alabama,Sun Belt,W,42,6,3,0,W 3,,
287,5,Oct 5 2019,3:45 PM,Sat,Memphis,@,Louisiana-Monroe,Sun Belt,W,52,33,5,0,W 5,,
288,7,Oct 19 2019,7:00 PM,Sat,Memphis,,Tulane,American,W,47,17,6,1,W 1,,
289,8,Oct 26 2019,7:00 PM,Sat,Memphis,@,Tulsa,American,,,,,,,,
290,10,Nov 16 2019,12:00 PM,Sat,Memphis,@,Houston,American,,,,,,,,
291,1,Aug 29 2019,8:00 PM,Thu,Tulane,,Florida International,CUSA,W,42,14,1,0,W 1,,
292,3,Sep 14 2019,8:00 PM,Sat,Tulane,,Missouri State,Non-Major,W,58,6,2,1,W 1,,
293,4,Sep 19 2019,8:00 PM,Thu,Tulane,,Houston,American,W,38,31,3,1,W 2,,
294,5,Oct 5 2019,12:00 PM,Sat,Tulane,@,Army,Ind,W,42,33,4,1,W 3,,
295,9,Nov 2 2019,4:00 PM,Sat,Tulane,,Tulsa,American,,,,,,,,
296,1,Sep 1 2019,7:30 PM,Sun,Houston,@,(4) Oklahoma,Big 12,L,31,49,0,1,L 1,,
297,2,Sep 7 2019,8:00 PM,Sat,Houston,,Prairie View A&M,Non-Major,W,37,17,1,1,W 1,,
298,3,Sep 13 2019,9:15 PM,Fri,Houston,N,(20) Washington State,Pac-12,L,24,31,1,2,L 1,,
299,5,Sep 28 2019,8:00 PM,Sat,Houston,@,North Texas,CUSA,W,46,25,2,3,W 1,,
300,11,Nov 23 2019,12:00 PM,Sat,Houston,@,Tulsa,American,,,,,,,,
301,1,Aug 30 2019,7:00 PM,Fri,Tulsa,@,(18) Michigan State,Big Ten,L,7,28,0,1,L 1,,
302,2,Sep 7 2019,9:00 PM,Sat,Tulsa,@,San Jose State,MWC,W,34,16,1,1,W 1,,
303,3,Sep 14 2019,3:30 PM,Sat,Tulsa,,Oklahoma State,Big 12,L,21,40,1,2,L 1,,
304,4,Sep 21 2019,3:30 PM,Sat,Tulsa,,Wyoming,MWC,W,24,21,2,2,W 1,,
305,1,Aug 31 2019,7:00 PM,Sat,Baylor,,Stephen F. Austin,Non-Major,W,56,17,1,0,W 1,,
306,2,Sep 7 2019,4:00 PM,Sat,Baylor,,UTSA,CUSA,W,63,14,2,0,W 2,,
307,3,Sep 21 2019,7:00 PM,Sat,Baylor,@,Rice,CUSA,W,21,13,3,0,W 3,,
308,4,Sep 28 2019,3:30 PM,Sat,Baylor,,Iowa State,Big 12,W,23,21,4,0,W 4,,
309,5,Oct 5 2019,3:30 PM,Sat,Baylor,@,Kansas State,Big 12,W,31,12,5,0,W 5,,
310,6,Oct 12 2019,4:00 PM,Sat,(22) Baylor,,Texas Tech,Big 12,W,33,30,6,0,W 6,,
311,7,Oct 19 2019,4:00 PM,Sat,(18) Baylor,@,Oklahoma State,Big 12,W,45,27,7,0,W 7,,
312,8,Oct 31 2019,8:00 PM,Thu,(14) Baylor,,West Virginia,Big 12,,,,,,,,
313,9,Nov 9 2019,12:00 PM,Sat,(14) Baylor,@,Texas Christian,Big 12,,,,,,,,
314,10,Nov 16 2019,12:00 PM,Sat,(14) Baylor,,(5) Oklahoma,Big 12,,,,,,,,
315,11,Nov 23 2019,12:00 PM,Sat,(14) Baylor,,(15) Texas,Big 12,,,,,,,,
316,12,Nov 30 2019,12:00 PM,Sat,(14) Baylor,@,Kansas,Big 12,,,,,,,,
317,2,Sep 7 2019,7:00 PM,Sat,(4) Oklahoma,,South Dakota,Non-Major,W,70,14,2,0,W 2,,
318,3,Sep 14 2019,8:00 PM,Sat,(5) Oklahoma,@,UCLA,Pac-12,W,48,14,3,0,W 3,,
319,4,Sep 28 2019,12:00 PM,Sat,(6) Oklahoma,,Texas Tech,Big 12,W,55,16,4,0,W 4,,
320,5,Oct 5 2019,12:00 PM,Sat,(6) Oklahoma,@,Kansas,Big 12,W,45,20,5,0,W 5,,
321,6,Oct 12 2019,12:00 PM,Sat,(6) Oklahoma,N,(11) Texas,Big 12,W,34,27,6,0,W 6,,
322,7,Oct 19 2019,12:00 PM,Sat,(5) Oklahoma,,West Virginia,Big 12,W,52,14,7,0,W 7,,
323,8,Oct 26 2019,12:00 PM,Sat,(5) Oklahoma,@,Kansas State,Big 12,,,,,,,,
324,9,Nov 9 2019,12:00 PM,Sat,(5) Oklahoma,,(23) Iowa State,Big 12,,,,,,,,
325,11,Nov 23 2019,12:00 PM,Sat,(5) Oklahoma,,Texas Christian,Big 12,,,,,,,,
326,12,Nov 30 2019,12:00 PM,Sat,(5) Oklahoma,@,Oklahoma State,Big 12,,,,,,,,
327,1,Aug 31 2019,12:00 PM,Sat,(21) Iowa State,,Northern Iowa,Non-Major,W,29,26,1,0,W 1,,
328,2,Sep 14 2019,4:00 PM,Sat,Iowa State,,(19) Iowa,Big Ten,L,17,18,1,1,L 1,,
329,3,Sep 21 2019,12:00 PM,Sat,Iowa State,,Louisiana-Monroe,Sun Belt,W,72,20,2,1,W 1,,
330,5,Oct 5 2019,12:00 PM,Sat,Iowa State,,Texas Christian,Big 12,W,49,24,3,2,W 1,,
331,6,Oct 12 2019,4:00 PM,Sat,Iowa State,@,West Virginia,Big 12,W,38,14,4,2,W 2,,
332,7,Oct 19 2019,12:00 PM,Sat,Iowa State,@,Texas Tech,Big 12,W,34,24,5,2,W 3,,
333,8,Oct 26 2019,3:30 PM,Sat,(23) Iowa State,,Oklahoma State,Big 12,,,,,,,,
334,10,Nov 16 2019,12:00 PM,Sat,(23) Iowa State,,(15) Texas,Big 12,,,,,,,,
335,11,Nov 23 2019,12:00 PM,Sat,(23) Iowa State,,Kansas,Big 12,,,,,,,,
336,12,Nov 30 2019,12:00 PM,Sat,(23) Iowa State,@,Kansas State,Big 12,,,,,,,,
337,1,Aug 31 2019,8:00 PM,Sat,(10) Texas,,Louisiana Tech,CUSA,W,45,14,1,0,W 1,,
338,3,Sep 14 2019,8:00 PM,Sat,(12) Texas,N,Rice,CUSA,W,48,13,2,1,W 1,,
339,4,Sep 21 2019,7:30 PM,Sat,(12) Texas,,Oklahoma State,Big 12,W,36,30,3,1,W 2,,
340,5,Oct 5 2019,3:30 PM,Sat,(11) Texas,@,West Virginia,Big 12,W,42,31,4,1,W 3,,
341,7,Oct 19 2019,7:00 PM,Sat,(15) Texas,,Kansas,Big 12,W,50,48,5,2,W 1,,
342,8,Oct 26 2019,3:30 PM,Sat,(15) Texas,@,Texas Christian,Big 12,,,,,,,,
343,9,Nov 9 2019,12:00 PM,Sat,(15) Texas,,Kansas State,Big 12,,,,,,,,
344,12,Nov 29 2019,12:00 PM,Fri,(15) Texas,,Texas Tech,Big 12,,,,,,,,
345,1,Aug 31 2019,7:00 PM,Sat,Kansas State,,Nicholls State,Non-Major,W,49,14,1,0,W 1,,
346,2,Sep 7 2019,12:00 PM,Sat,Kansas State,,Bowling Green State,MAC,W,52,0,2,0,W 2,,
347,4,Sep 28 2019,7:00 PM,Sat,(24) Kansas State,@,Oklahoma State,Big 12,L,13,26,3,1,L 1,,
348,6,Oct 19 2019,2:30 PM,Sat,Kansas State,,Texas Christian,Big 12,W,24,17,4,2,W 1,,
349,8,Nov 2 2019,3:30 PM,Sat,Kansas State,@,Kansas,Big 12,,,,,,,,
350,10,Nov 16 2019,12:00 PM,Sat,Kansas State,,West Virginia,Big 12,,,,,,,,
351,11,Nov 23 2019,12:00 PM,Sat,Kansas State,@,Texas Tech,Big 12,,,,,,,,
352,1,Aug 31 2019,8:00 PM,Sat,Texas Christian,,Arkansas-Pine Bluff,Non-Major,W,39,7,1,0,W 1,,
353,2,Sep 14 2019,7:30 PM,Sat,Texas Christian,@,Purdue,Big Ten,W,34,13,2,0,W 2,,
354,4,Sep 28 2019,12:00 PM,Sat,Texas Christian,,Kansas,Big 12,W,51,14,3,1,W 1,,
355,8,Nov 2 2019,3:30 PM,Sat,Texas Christian,@,Oklahoma State,Big 12,,,,,,,,
356,10,Nov 16 2019,12:00 PM,Sat,Texas Christian,@,Texas Tech,Big 12,,,,,,,,
357,12,Nov 29 2019,3:30 PM,Fri,Texas Christian,,West Virginia,Big 12,,,,,,,,
358,1,Aug 30 2019,10:30 PM,Fri,Oklahoma State,@,Oregon State,Pac-12,W,52,36,1,0,W 1,,
359,2,Sep 7 2019,7:00 PM,Sat,Oklahoma State,,McNeese State,Non-Major,W,56,14,2,0,W 2,,
360,6,Oct 5 2019,12:00 PM,Sat,(21) Oklahoma State,@,Texas Tech,Big 12,L,35,45,4,2,L 1,,
361,10,Nov 16 2019,12:00 PM,Sat,Oklahoma State,,Kansas,Big 12,,,,,,,,
362,11,Nov 23 2019,12:00 PM,Sat,Oklahoma State,@,West Virginia,Big 12,,,,,,,,
363,1,Aug 31 2019,4:00 PM,Sat,Texas Tech,,Montana State,Non-Major,W,45,10,1,0,W 1,,
364,2,Sep 7 2019,8:00 PM,Sat,Texas Tech,,UTEP,CUSA,W,38,3,2,0,W 2,,
365,3,Sep 14 2019,10:30 PM,Sat,Texas Tech,@,Arizona,Pac-12,L,14,28,2,1,L 1,,
366,8,Oct 26 2019,7:00 PM,Sat,Texas Tech,@,Kansas,Big 12,,,,,,,,
367,9,Nov 9 2019,12:00 PM,Sat,Texas Tech,@,West Virginia,Big 12,,,,,,,,
368,1,Aug 31 2019,2:00 PM,Sat,West Virginia,,James Madison,Non-Major,W,20,13,1,0,W 1,,
369,4,Sep 21 2019,4:30 PM,Sat,West Virginia,@,Kansas,Big 12,W,29,24,3,1,W 2,,
370,1,Aug 31 2019,12:00 PM,Sat,Kansas,,Indiana State,Non-Major,W,24,17,1,0,W 1,,
371,2,Sep 7 2019,7:00 PM,Sat,Kansas,,Coastal Carolina,Sun Belt,L,7,12,1,1,L 1,,
372,1,Aug 31 2019,12:00 PM,Sat,(5) Ohio State,,Florida Atlantic,CUSA,W,45,21,1,0,W 1,,
373,3,Sep 14 2019,12:00 PM,Sat,(6) Ohio State,@,Indiana,Big Ten,W,51,10,3,0,W 3,,
374,4,Sep 21 2019,3:30 PM,Sat,(6) Ohio State,,Miami (OH),MAC,W,76,5,4,0,W 4,,
375,5,Sep 28 2019,7:30 PM,Sat,(5) Ohio State,@,Nebraska,Big Ten,W,48,7,5,0,W 5,,
376,6,Oct 5 2019,7:30 PM,Sat,(4) Ohio State,,(25) Michigan State,Big Ten,W,34,10,6,0,W 6,,
377,7,Oct 18 2019,8:30 PM,Fri,(4) Ohio State,@,Northwestern,Big Ten,W,52,3,7,0,W 7,,
378,8,Oct 26 2019,12:00 PM,Sat,(3) Ohio State,,(13) Wisconsin,Big Ten,,,,,,,,
379,9,Nov 9 2019,12:00 PM,Sat,(3) Ohio State,,Maryland,Big Ten,,,,,,,,
380,10,Nov 16 2019,12:00 PM,Sat,(3) Ohio State,@,Rutgers,Big Ten,,,,,,,,
381,11,Nov 23 2019,12:00 PM,Sat,(3) Ohio State,,(6) Penn State,Big Ten,,,,,,,,
382,12,Nov 30 2019,12:00 PM,Sat,(3) Ohio State,@,(19) Michigan,Big Ten,,,,,,,,
383,1,Aug 31 2019,3:30 PM,Sat,(15) Penn State,,Idaho,Non-Major,W,79,7,1,0,W 1,,
384,2,Sep 7 2019,7:30 PM,Sat,(15) Penn State,,Buffalo,MAC,W,45,13,2,0,W 2,,
385,4,Sep 27 2019,8:00 PM,Fri,(12) Penn State,@,Maryland,Big Ten,W,59,0,4,0,W 4,,
386,5,Oct 5 2019,12:00 PM,Sat,(12) Penn State,,Purdue,Big Ten,W,35,7,5,0,W 5,,
387,6,Oct 12 2019,7:30 PM,Sat,(10) Penn State,@,(17) Iowa,Big Ten,W,17,12,6,0,W 6,,
388,7,Oct 19 2019,7:30 PM,Sat,(7) Penn State,,(16) Michigan,Big Ten,W,28,21,7,0,W 7,,
389,8,Oct 26 2019,3:30 PM,Sat,(6) Penn State,@,Michigan State,Big Ten,,,,,,,,
390,9,Nov 9 2019,12:00 PM,Sat,(6) Penn State,@,(17) Minnesota,Big Ten,,,,,,,,
391,10,Nov 16 2019,12:00 PM,Sat,(6) Penn State,,Indiana,Big Ten,,,,,,,,
392,12,Nov 30 2019,12:00 PM,Sat,(6) Penn State,,Rutgers,Big Ten,,,,,,,,
393,1,Aug 31 2019,7:30 PM,Sat,(7) Michigan,,Middle Tennessee State,CUSA,W,40,21,1,0,W 1,,
394,2,Sep 7 2019,12:00 PM,Sat,(7) Michigan,,Army,Ind,W,24,21,2,0,W 2,,
395,3,Sep 21 2019,12:00 PM,Sat,(11) Michigan,@,(13) Wisconsin,Big Ten,L,14,35,2,1,L 1,,
396,4,Sep 28 2019,12:00 PM,Sat,(20) Michigan,,Rutgers,Big Ten,W,52,0,3,1,W 1,,
397,5,Oct 5 2019,12:00 PM,Sat,(19) Michigan,,(14) Iowa,Big Ten,W,10,3,4,1,W 2,,
398,6,Oct 12 2019,12:00 PM,Sat,(16) Michigan,@,Illinois,Big Ten,W,42,25,5,1,W 3,,
399,8,Oct 26 2019,7:30 PM,Sat,(19) Michigan,,(8) Notre Dame,Ind,,,,,,,,
400,9,Nov 2 2019,12:00 PM,Sat,(19) Michigan,@,Maryland,Big Ten,,,,,,,,
401,10,Nov 16 2019,12:00 PM,Sat,(19) Michigan,,Michigan State,Big Ten,,,,,,,,
402,11,Nov 23 2019,12:00 PM,Sat,(19) Michigan,@,Indiana,Big Ten,,,,,,,,
403,1,Aug 31 2019,12:00 PM,Sat,Indiana,N,Ball State,MAC,W,34,24,1,0,W 1,,
404,2,Sep 7 2019,3:30 PM,Sat,Indiana,,Eastern Illinois,Non-Major,W,52,0,2,0,W 2,,
405,5,Sep 28 2019,3:30 PM,Sat,Indiana,@,(25) Michigan State,Big Ten,L,31,40,3,2,L 1,,
406,6,Oct 12 2019,12:00 PM,Sat,Indiana,,Rutgers,Big Ten,W,35,0,4,2,W 1,,
407,7,Oct 19 2019,3:30 PM,Sat,Indiana,@,Maryland,Big Ten,W,34,28,5,2,W 2,,
408,8,Oct 26 2019,3:30 PM,Sat,Indiana,@,Nebraska,Big Ten,,,,,,,,
409,9,Nov 2 2019,7:00 PM,Sat,Indiana,,Northwestern,Big Ten,,,,,,,,
410,12,Nov 30 2019,12:00 PM,Sat,Indiana,@,Purdue,Big Ten,,,,,,,,
411,2,Sep 7 2019,7:30 PM,Sat,(19) Michigan State,,Western Michigan,MAC,W,51,17,2,0,W 2,,
412,3,Sep 14 2019,4:00 PM,Sat,(18) Michigan State,,Arizona State,Pac-12,L,7,10,2,1,L 1,,
413,4,Sep 21 2019,12:00 PM,Sat,Michigan State,@,Northwestern,Big Ten,W,31,10,3,1,W 1,,
414,7,Oct 12 2019,3:30 PM,Sat,Michigan State,@,(8) Wisconsin,Big Ten,L,0,38,4,3,L 2,,
415,9,Nov 9 2019,12:00 PM,Sat,Michigan State,,Illinois,Big Ten,,,,,,,,
416,11,Nov 23 2019,12:00 PM,Sat,Michigan State,@,Rutgers,Big Ten,,,,,,,,
417,12,Nov 30 2019,12:00 PM,Sat,Michigan State,,Maryland,Big Ten,,,,,,,,
418,1,Aug 31 2019,12:00 PM,Sat,Maryland,,Howard,Non-Major,W,79,0,1,0,W 1,,
419,5,Oct 5 2019,12:00 PM,Sat,Maryland,@,Rutgers,Big Ten,W,48,7,3,2,W 1,,
420,6,Oct 12 2019,12:00 PM,Sat,Maryland,@,Purdue,Big Ten,L,14,40,3,3,L 1,,
421,8,Oct 26 2019,3:30 PM,Sat,Maryland,@,(17) Minnesota,Big Ten,,,,,,,,
422,11,Nov 23 2019,12:00 PM,Sat,Maryland,,Nebraska,Big Ten,,,,,,,,
423,1,Aug 30 2019,7:15 PM,Fri,Rutgers,,Massachusetts,Ind,W,48,21,1,0,W 1,,
424,2,Sep 7 2019,12:00 PM,Sat,Rutgers,@,(20) Iowa,Big Ten,L,0,30,1,1,L 1,,
425,7,Oct 19 2019,3:30 PM,Sat,Rutgers,,(20) Minnesota,Big Ten,L,7,42,1,6,L 6,,
426,8,Oct 26 2019,12:00 PM,Sat,Rutgers,,Liberty,Ind,,,,,,,,
427,9,Nov 2 2019,3:30 PM,Sat,Rutgers,@,Illinois,Big Ten,,,,,,,,
428,1,Aug 29 2019,9:00 PM,Thu,Minnesota,,South Dakota State,Non-Major,W,28,21,1,0,W 1,,
429,2,Sep 7 2019,10:30 PM,Sat,Minnesota,@,Fresno State,MWC,W,38,35,2,0,W 2,,
430,3,Sep 14 2019,3:30 PM,Sat,Minnesota,,Georgia Southern,Sun Belt,W,35,32,3,0,W 3,,
431,4,Sep 28 2019,3:30 PM,Sat,Minnesota,@,Purdue,Big Ten,W,38,31,4,0,W 4,,
432,5,Oct 5 2019,3:30 PM,Sat,Minnesota,,Illinois,Big Ten,W,40,17,5,0,W 5,,
433,6,Oct 12 2019,7:30 PM,Sat,Minnesota,,Nebraska,Big Ten,W,34,7,6,0,W 6,,
434,10,Nov 16 2019,12:00 PM,Sat,(17) Minnesota,@,(20) Iowa,Big Ten,,,,,,,,
435,11,Nov 23 2019,12:00 PM,Sat,(17) Minnesota,@,Northwestern,Big Ten,,,,,,,,
436,12,Nov 30 2019,12:00 PM,Sat,(17) Minnesota,,(13) Wisconsin,Big Ten,,,,,,,,
437,2,Sep 7 2019,3:30 PM,Sat,(17) Wisconsin,,Central Michigan,MAC,W,61,0,2,0,W 2,,
438,4,Sep 28 2019,12:00 PM,Sat,(8) Wisconsin,,Northwestern,Big Ten,W,24,15,4,0,W 4,,
439,5,Oct 5 2019,12:00 PM,Sat,(8) Wisconsin,,Kent State,MAC,W,48,0,5,0,W 5,,
440,7,Oct 19 2019,12:00 PM,Sat,(6) Wisconsin,@,Illinois,Big Ten,L,23,24,6,1,L 1,,
441,9,Nov 9 2019,12:00 PM,Sat,(13) Wisconsin,,(20) Iowa,Big Ten,,,,,,,,
442,10,Nov 16 2019,12:00 PM,Sat,(13) Wisconsin,@,Nebraska,Big Ten,,,,,,,,
443,11,Nov 23 2019,12:00 PM,Sat,(13) Wisconsin,,Purdue,Big Ten,,,,,,,,
444,1,Aug 31 2019,7:30 PM,Sat,(20) Iowa,,Miami (OH),MAC,W,38,14,1,0,W 1,,
445,4,Sep 28 2019,12:00 PM,Sat,(14) Iowa,,Middle Tennessee State,CUSA,W,48,3,4,0,W 4,,
446,7,Oct 19 2019,12:00 PM,Sat,(23) Iowa,,Purdue,Big Ten,W,26,20,5,2,W 1,,
447,8,Oct 26 2019,12:00 PM,Sat,(20) Iowa,@,Northwestern,Big Ten,,,,,,,,
448,11,Nov 23 2019,12:00 PM,Sat,(20) Iowa,,Illinois,Big Ten,,,,,,,,
449,12,Nov 29 2019,2:30 PM,Fri,(20) Iowa,@,Nebraska,Big Ten,,,,,,,,
450,1,Aug 31 2019,12:00 PM,Sat,(24) Nebraska,,South Alabama,Sun Belt,W,35,21,1,0,W 1,,
451,2,Sep 7 2019,3:30 PM,Sat,(25) Nebraska,@,Colorado,Pac-12,L,31,34,1,1,L 1,,
452,3,Sep 14 2019,8:00 PM,Sat,Nebraska,,Northern Illinois,MAC,W,44,8,2,1,W 1,,
453,4,Sep 21 2019,8:00 PM,Sat,Nebraska,@,Illinois,Big Ten,W,42,38,3,1,W 2,,
454,6,Oct 5 2019,4:00 PM,Sat,Nebraska,,Northwestern,Big Ten,W,13,10,4,2,W 1,,
455,9,Nov 2 2019,12:00 PM,Sat,Nebraska,@,Purdue,Big Ten,,,,,,,,
456,1,Aug 31 2019,12:00 PM,Sat,Illinois,,Akron,MAC,W,42,3,1,0,W 1,,
457,3,Sep 14 2019,12:00 PM,Sat,Illinois,,Eastern Michigan,MAC,L,31,34,2,1,L 1,,
458,8,Oct 26 2019,12:00 PM,Sat,Illinois,@,Purdue,Big Ten,,,,,,,,
459,12,Nov 30 2019,12:00 PM,Sat,Illinois,,Northwestern,Big Ten,,,,,,,,
460,1,Aug 30 2019,9:30 PM,Fri,Purdue,@,Nevada,MWC,L,31,34,0,1,L 1,,
461,10,Nov 9 2019,12:00 PM,Sat,Purdue,@,Northwestern,Big Ten,,,,,,,,
462,1,Aug 31 2019,4:00 PM,Sat,Northwestern,@,(25) Stanford,Pac-12,L,7,17,0,1,L 1,,
463,2,Sep 14 2019,3:30 PM,Sat,Northwestern,,Nevada-Las Vegas,MWC,W,30,14,1,1,W 1,,
464,10,Nov 16 2019,12:00 PM,Sat,Northwestern,,Massachusetts,Ind,,,,,,,,
465,1,Aug 29 2019,7:30 PM,Thu,Western Kentucky,,Central Arkansas,Non-Major,L,28,35,0,1,L 1,,
466,2,Sep 7 2019,7:00 PM,Sat,Western Kentucky,@,Florida International,CUSA,W,20,14,1,1,W 1,,
467,4,Sep 28 2019,7:00 PM,Sat,Western Kentucky,,UAB,CUSA,W,20,13,2,2,W 1,,
468,5,Oct 5 2019,6:00 PM,Sat,Western Kentucky,@,Old Dominion,CUSA,W,20,3,3,2,W 2,,
469,6,Oct 12 2019,7:00 PM,Sat,Western Kentucky,,Army,Ind,W,17,8,4,2,W 3,,
470,7,Oct 19 2019,4:00 PM,Sat,Western Kentucky,,Charlotte,CUSA,W,30,14,5,2,W 4,,
471,8,Oct 26 2019,2:30 PM,Sat,Western Kentucky,@,Marshall,CUSA,,,,,,,,
472,9,Nov 2 2019,4:00 PM,Sat,Western Kentucky,,Florida Atlantic,CUSA,,,,,,,,
473,11,Nov 23 2019,3:30 PM,Sat,Western Kentucky,@,Southern Mississippi,CUSA,,,,,,,,
474,12,Nov 30 2019,2:00 PM,Sat,Western Kentucky,,Middle Tennessee State,CUSA,,,,,,,,
475,3,Sep 14 2019,2:00 PM,Sat,Florida Atlantic,@,Ball State,MAC,W,41,31,1,2,W 1,,
476,4,Sep 21 2019,6:00 PM,Sat,Florida Atlantic,,Wagner,Non-Major,W,42,7,2,2,W 2,,
477,5,Sep 28 2019,3:30 PM,Sat,Florida Atlantic,@,Charlotte,CUSA,W,45,27,3,2,W 3,,
478,6,Oct 12 2019,4:00 PM,Sat,Florida Atlantic,,Middle Tennessee State,CUSA,W,28,13,4,2,W 4,,
479,7,Oct 18 2019,6:30 PM,Fri,Florida Atlantic,,Marshall,CUSA,L,31,36,4,3,L 1,,
480,8,Oct 26 2019,3:30 PM,Sat,Florida Atlantic,@,Old Dominion,CUSA,,,,,,,,
481,10,Nov 9 2019,6:00 PM,Sat,Florida Atlantic,,Florida International,CUSA,,,,,,,,
482,11,Nov 23 2019,6:00 PM,Sat,Florida Atlantic,@,UTSA,CUSA,,,,,,,,
483,12,Nov 30 2019,3:30 PM,Sat,Florida Atlantic,,Southern Mississippi,CUSA,,,,,,,,
484,1,Aug 31 2019,6:30 PM,Sat,Marshall,,Virginia Military Institute,Non-Major,W,56,17,1,0,W 1,,
485,2,Sep 6 2019,9:00 PM,Fri,Marshall,@,(24) Boise State,MWC,L,7,14,1,1,L 1,,
486,3,Sep 14 2019,6:30 PM,Sat,Marshall,,Ohio,MAC,W,33,31,2,1,W 1,,
487,5,Oct 5 2019,3:30 PM,Sat,Marshall,@,Middle Tennessee State,CUSA,L,13,24,2,3,L 2,,
488,6,Oct 12 2019,2:30 PM,Sat,Marshall,,Old Dominion,CUSA,W,31,17,3,3,W 1,,
489,9,Nov 2 2019,3:30 PM,Sat,Marshall,@,Rice,CUSA,,,,,,,,
490,10,Nov 15 2019,,Fri,Marshall,,Louisiana Tech,CUSA,,,,,,,,
491,11,Nov 23 2019,3:30 PM,Sat,Marshall,@,Charlotte,CUSA,,,,,,,,
492,12,Nov 30 2019,12:00 PM,Sat,Marshall,,Florida International,CUSA,,,,,,,,
